2,2015-01-15 19:05:39 +00:00,2015-01-15 19:23:42 +00:00,1,1.59,-73.99389648,40.75011063,-73.97478485,40.75061798,12,3.25,17.05,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
2.0,2015-01-15 19:05:39 +00:00,2015-01-15 19:32:00 +00:00,1.0,2.38,-73.97642517,40.73981094,-73.98397827,40.75788879,16.5,4.38,22.68,,,,,
2.0,2015-01-15 19:05:40 +00:00,2015-01-15 19:21:00 +00:00,5.0,2.83,-73.96870422,40.75424576,-73.9551239,40.7868576,12.5,0.0,14.3,,,,,
,,,,,,,,,,,,6.1,2.8,4.0,1.3,1.0
,,,,,,,,,,,,5.5,2.3,4.0,1.3,1.0
,,,,,,,,,,,,6.9,3.2,5.7,2.3,2.0
,,,,,,,,,,,,4.5,2.3,1.3,0.3,0.0
,,,,,,,,,,,,5.6,3.0,4.1,1.3,1.0
,,,,,,,,,,,,6.1,3.0,4.6,1.4,1.0
,,,,,,,,,,,,6.7,3.1,4.7,1.5,1.0
,,,,,,,,,,,,5.4,3.4,1.7,0.2,0.0
,,,,,,,,,,,,4.8,3.4,1.9,0.2,0.0
,,,,,,,,,,,,5.1,3.4,1.5,0.2,0.0
,,,,,,,,,,,,5.5,2.3,4.0,1.3,1.0
,,,,,,,,,,,,6.1,2.8,4.0,1.3,1.0
,,,,,,,,,,,,5.2,2.7,3.9,1.4,1.0
,,,,,,,,,,,,5.8,2.7,5.1,1.9,2.0
,,,,,,,,,,,,6.2,2.9,4.3,1.3,1.0
,,,,,,,,,,,,6.5,3.0,5.8,2.2,2.0
,,,,,,,,,,,,5.0,3.0,1.6,0.2,0.0
,,,,,,,,,,,,6.8,3.2,5.9,2.3,2.0
,,,,,,,,,,,,6.9,3.1,5.1,2.3,2.0
,,,,,,,,,,,,6.4,3.2,4.5,1.5,1.0
,,,,,,,,,,,,5.1,3.5,1.4,0.2,0.0
,,,,,,,,,,,,6.5,2.8,4.6,1.5,1.0
,,,,,,,,,,,,5.6,2.5,3.9,1.1,1.0
,,,,,,,,,,,,5.8,2.7,4.1,1.0,1.0
,,,,,,,,,,,,5.1,3.8,1.6,0.2,0.0
,,,,,,,,,,,,5.4,3.4,1.7,0.2,0.0
,,,,,,,,,,,,4.8,3.4,1.6,0.2,0.0
,,,,,,,,,,,,7.7,3.0,6.1,2.3,2.0
,,,,,,,,,,,,6.1,3.0,4.9,1.8,2.0
,,,,,,,,,,,,5.2,4.1,1.5,0.1,0.0
,,,,,,,,,,,,4.9,3.6,1.4,0.1,0.0
,,,,,,,,,,,,5.0,3.6,1.4,0.2,0.0
,,,,,,,,,,,,6.4,3.2,4.5,1.5,1.0
,,,,,,,,,,,,6.7,3.3,5.7,2.1,2.0
,,,,,,,,,,,,7.4,2.8,6.1,1.9,2.0
,,,,,,,,,,,,6.8,2.8,4.8,1.4,1.0
,,,,,,,,,,,,6.9,3.1,4.9,1.5,1.0
,,,,,,,,,,,,6.0,2.2,5.0,1.5,2.0
,,,,,,,,,,,,5.4,3.4,1.5,0.4,0.0
,,,,,,,,,,,,4.9,2.4,3.3,1.0,1.0
,,,,,,,,,,,,6.3,2.7,4.9,1.8,2.0
,,,,,,,,,,,,6.0,2.2,4.0,1.0,1.0
,,,,,,,,,,,,6.3,3.3,6.0,2.5,2.0
,,,,,,,,,,,,4.5,2.3,1.3,0.3,0.0
,,,,,,,,,,,,7.7,2.8,6.7,2.0,2.0
,,,,,,,,,,,,5.8,2.7,5.1,1.9,2.0
,,,,,,,,,,,,5.4,3.0,4.5,1.5,1.0
,,,,,,,,,,,,5.4,3.7,1.5,0.2,0.0
